CustomerID,ProductID,Rating,Comment
2,36,3,Pending
27,12,5,Completed
27,3,5,Failed
7,26,2,Completed
2,17,5,Pending
22,13,2,Pending
4,3,2,Failed
26,30,4,Failed
24,2,5,Failed
13,33,3,Failed
13,9,1,Failed
23,35,5,Pending
16,23,2,Pending
3,10,1,Completed
9,10,1,Failed
1,23,1,Pending
26,16,4,Pending
3,39,3,Failed
26,12,2,Failed
5,29,3,Failed
9,35,5,Failed
25,4,5,Failed
25,32,2,Failed
25,4,1,Failed
22,1,1,Failed
24,26,1,Completed
28,23,3,Pending
5,15,2,Completed
12,28,2,Pending
1,13,3,Failed
28,26,4,Pending
16,9,1,Failed
18,26,5,Pending
27,20,3,Pending
29,9,5,Failed
6,17,1,Pending
20,3,5,Pending
17,24,1,Completed
25,30,2,Pending
8,24,2,Pending
21,6,5,Failed
30,22,2,Completed
28,9,3,Failed
16,26,3,Failed
27,34,4,Pending
12,36,4,Completed
8,7,3,Pending
11,17,1,Pending
12,12,3,Completed
21,20,1,Failed
23,27,3,Completed
11,15,5,Completed
29,18,1,Pending
26,19,1,Completed
1,9,1,Failed
7,28,2,Completed
2,15,1,Failed
2,36,3,Pending
5,12,4,Pending
29,17,3,Failed
15,38,1,Failed
6,6,3,Pending
7,36,1,Completed
3,8,2,Pending
1,5,5,Pending
16,7,1,Pending
17,8,5,Pending
29,22,2,Completed
20,26,1,Failed
11,13,3,Failed
18,26,1,Failed
14,28,1,Failed
7,7,2,Pending
21,40,5,Failed
23,16,4,Completed
21,26,1,Pending
17,29,3,Failed
9,16,3,Failed
7,17,1,Completed
19,34,4,Pending
29,25,1,Pending
29,17,2,Pending
11,24,4,Completed
11,17,5,Pending
18,13,1,Pending
30,11,5,Completed
9,15,4,Completed
21,25,4,Completed
25,39,5,Completed
15,31,5,Completed
23,37,1,Failed
27,34,4,Pending
18,2,3,Completed
25,33,1,Pending
21,26,2,Completed
1,13,3,Pending
19,24,2,Completed
20,6,1,Completed
21,3,3,Completed
30,17,4,Completed
10,24,5,Completed
7,38,4,Completed
9,26,1,Pending
18,14,2,Failed
6,4,4,Completed
26,11,4,Pending
3,38,4,Pending
6,21,2,Completed
17,38,3,Failed
9,22,3,Failed
6,8,5,Failed
13,4,3,Completed
14,38,5,Failed
13,21,3,Failed
29,16,5,Pending
28,19,2,Failed
9,22,3,Completed
20,6,1,Failed
21,4,5,Failed
15,27,2,Completed
6,19,5,Completed
19,17,1,Completed
4,5,3,Failed
20,31,2,Failed
8,37,5,Failed
30,35,1,Completed
18,9,2,Pending
7,24,2,Failed
30,34,4,Completed
5,4,4,Completed
28,11,4,Failed
